Player Id,Age,Nationality,Over All Draft,Last Name,First Name,Position,Team,GP,Goals,Assists,Points,PlusMinus,PIM,GWG,Status,Salary
8476390,25,CAN,65,Cramarossa,Joseph,C/LW,ANA/VAN,59,4,6,10,0,60,1,RFA,724500
8471675,30,CAN,1,Crosby,Sidney,C,PIT,75,44,45,89,17,24,5,UFA,10900000
8478474,20,CAN,11,Crouse,Lawson,LW,ARI,72,5,7,12,-20,48,2,RFA,925000
8464989,41,USA,35,Cullen,Matt,C/LW,PIT,72,13,18,31,4,30,2,UFA,1000000
8478512,25,USA,,Czarnik,Austin,C,BOS,49,5,8,13,-10,12,1,RFA,842500
8476403,26,SWE,79,Dahlbeck,Klas,D,CAR,43,2,4,6,-12,30,0,RFA,750000
8470110,34,CAN,43,Daley,Trevor,D,PIT,56,5,14,19,7,37,0,UFA,2700000
8474610,28,CAN,45,Dalpe,Zac,C,MIN,9,1,2,3,0,9,0,UFA,600000
8476479,24,CAN,26,Danault,Phillip,LW/C,MTL,82,13,27,40,5,35,3,RFA,875000
8477448,23,SVK,27,Dano,Marko,C/LW/RW,WPG,38,4,7,11,0,10,0,RFA,925000
8477460,22,CAN,39,Dauphin,Laurent,C,ARI,24,2,1,3,-2,12,1,RFA,767500
8475869,26,CAN,162,Davidson,Brandon,D,EDM/MTL,38,0,3,3,-2,20,0,RFA,1300000
8475177,26,CAN,12,de Haan,Calvin,D,NYI,82,5,20,25,15,36,1,RFA,2900000
8477455,22,SWE,34,De la Rose,Jacob,LW,MTL,9,0,0,0,-3,4,0,RFA,925000
8477520,23,CAN,,Dea,Jean-Sebastien,C,PIT,1,0,0,0,0,2,0,RFA,575000
8477950,22,USA,19,Deangelo,Anthony,D,ARI,39,5,9,14,-13,37,1,RFA,925000
8477215,27,USA,,DeKeyser,Danny,D,DET,82,4,8,12,-22,33,2,UFA,4000000
8474584,27,CAN,20,Del Zotto,Michael,D,PHI,51,6,12,18,-5,28,0,UFA,4000000
8476331,24,CAN,179,Demelo,Dylan,D,S.J,25,1,7,8,2,14,0,RFA,600000
8474218,29,CAN,186,Demers,Jason,D,FLA,81,9,19,28,-14,53,2,UFA,5500000
8471976,31,CAN,,Desharnais,David,C,EDM/MTL,49,6,8,14,4,12,1,UFA,3500000
8471956,31,CAN,,Desjardins,Andrew,LW/C,CHI,46,0,1,1,-6,22,0,UFA,800000
8475235,26,CAN,84,Deslauriers,Nicolas,LW,BUF,42,0,2,2,-6,38,0,UFA,775000
8475155,26,CAN,30,Despres,Simon,D,ANA,1,0,0,0,0,0,0,UFA,2600000
8476858,24,CAN,38,Di Giuseppe,Phillip,LW,CAR,36,1,6,7,-12,15,1,RFA,867500
8477450,22,CAN,29,Dickinson,Jason,C,DAL,10,2,0,2,-3,0,0,RFA,925000
8474018,28,CAN,164,Didomenico,Chris,C/RW,OTT,3,0,0,0,0,6,0,UFA,575000
8475455,27,CAN,,Dillon,Brenden,D,S.J,81,2,8,10,-2,60,0,UFA,2750000
8462038,41,CAN,7,Doan,Shane,RW/LW,ARI,74,6,21,27,-3,48,0,UFA,3876134
8477503,22,CAN,12,Domi,Max,LW/C,ARI,59,9,29,38,-9,40,1,RFA,832500
8475820,25,FIN,99,Donskoi,Joonas,RW,S.J,61,6,11,17,-5,10,0,RFA,925000
8473432,31,CAN,189,Dorsett,Derek,RW,VAN,14,1,3,4,-6,33,0,UFA,2500000
8477009,23,CAN,161,Dotchin,Jake,D,T.B,35,0,11,11,10,35,0,RFA,615000
8474563,28,CAN,2,Doughty,Drew,D,L.A,82,12,32,44,8,46,1,UFA,7450000
8475343,27,USA,198,Dowd,Nic,C,L.A,70,6,16,22,-15,25,2,UFA,630000
8475413,27,CAN,,Dowling,Justin,C,DAL,9,0,2,2,0,2,0,UFA,625000
8477934,22,DEU,3,Draisaitl,Leon,C,EDM,82,29,48,77,7,20,5,RFA,925000
8477494,22,CAN,3,Drouin,Jonathan,LW,T.B,73,21,32,53,-13,16,6,RFA,832500
8471273,31,USA,60,Dubinsky,Brandon,C/LW,CBJ,80,12,29,41,16,91,5,UFA,5850000
8475168,26,CAN,3,Duchene,Matt,C/LW,COL,77,18,23,41,-34,12,3,UFA,6000000
8477407,22,CAN,80,Duclair,Anthony,LW/RW,ARI,58,5,10,15,-7,14,1,RFA,832500
8476856,23,CAN,7,Dumba,Matt,D,MIN,76,11,23,34,15,59,1,RFA,2350000
8475254,27,CAN,139,Dumont,Gabriel,C,T.B,39,2,2,4,1,29,0,UFA,575000
8475208,26,USA,51,Dumoulin,Brian,D,PIT,70,1,14,15,0,14,0,RFA,800000
8477989,21,USA,58,Dvorak,Christian,C/LW,ARI,78,15,18,33,7,22,1,RFA,792500
8476288,25,USA,204,Dzingel,Ryan,LW/RW/C,OTT,81,14,18,32,7,30,1,RFA,750000
